company,code,subcode,amount,description,price
DIJET,NMIZP16-0105,ZPMT 160408R                      JC5015,90,לוחית ימנית לכרסום/שיקוע,19.35
DIJET,,ADMT100308PDER       JC5118,90,,0
DIJET,,ZPMT 100308ZER-PL                    DH102,90,,0
DIJET,NTICN12-5105,CNMG 120408R-SG                   JC8015,80,"לוחית לחריטה, מתק""ש מצופה",13
DIJET,NTIWN08-5120,WNMG 080408R-SG                   JC8015,80,"לוחית לחריטה, מתק""ש מצופה",14.36
DIJET,,APMT160408PDER       JC5118,80,,0
DIJET,,TNMG160408-SZ       JC5118,80,,0
DIJET,NTICN12-5108,CNMG 120412R-SG                   JC8015,70,"לוחית לחריטה, מתק""ש מצופה",13
DIJET,NMIZC10-0050,ZCMT 100308R                      JC5040,70,לוחית ימנית לכרסום/שיקוע,16.83
DIJET,,EOMT 060210ZER               JC8118,70,,0
DIJET,,RDHX 12T3M0T                    JC8118,70,,0
DIJET,,RDHX 1604MOT                     JC8118,70,,0
DIJET,,SDEW090312ZER.   JC7550,70,,0
DIJET,,ZPMT 100320ZER                         JC8050,70,,0
DIJET,NMDWO04-0125,WOMW 04T215ZER    (PVD)           JC5118,60,לוחית כרסום ל-HIGH FEED MILLING,18.53
DIJET,NMIZP13-0105,ZPMT 13T308R                      JC5015,60,לוחית ימנית לכרסום/שיקוע,18.1
DIJET,NMIZP13-0210,ZPMT 13T308RP  (POLISHED)           FZ15,60,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,,APMT160408PDER       JC8015,60,,0
DIJET,,ZDMT 13T320-RP                      FZ15,60,,0
DIJET,,ZPMT 100308ZER-PL                    CX75,60,,0
DIJET,NMDMSSP-0161,#SM-SE13 MR2    (SHIM FOR SE13T3)........,50,תחתית ללוחית SEMT13T3,28.12
DIJET,NMIEO06-0070,EOMW 060210ZER   (PVD)            JC7560,50,לוחית ימנית high feed milling,16.04
DIJET,NMDSP09-0010,IM-SP32GS          (PVD)          JC5015,50,"לוח'כר'מתקש מצופה,DIJET,כר'90",14.02
DIJET,NMDSP12-0033,"IM-SP43GS-N1  (PVD,SERRATED)      JC5040",50,"לוחית כרסום משוננת,ציפוי PVD",12.81
DIJET,NMDRD12-0305,RDMT 1204M0T    (PVD)             JC5118,50,לוחית כרסום לחוצה מצופה עגולה,15.04
DIJET,NMSDS12-0050,SDHW 1204AFTN                     JC5040,50,לוחית כרסום ISO  מצופה,13.97
DIJET,NMDWD05-0150,WDMT 050316ZER    (PVD)           JC5118,50,לוחית כרסום ל-HIGH FEED MILLING,18.69
DIJET,NMDWO04-0135,WOMT 04T215ZER    (PVD)           JC7560,50,לוחית כרסום ל-HIGH FEED MILLING,17.63
DIJET,NMIZC10-0060,ZCMT 100308R                      JC5015,50,לוחית ימנית לכרסום/שיקוע,18.59
DIJET,NMIZD10-0060,ZDMT 100308L                      JC5015,50,לוחית ימנית לכרסום/שיקוע,18.59
DIJET,NMIZD13-0050,ZDMT 13T308L                      JC5040,50,לוחית שמאלית לכרסום/שיקוע,16.67
DIJET,NMIZO06-0160,ZOMT 060204ZER   (PVD)            JC8050,50,לוחית ימנית high feed milling,13.54
DIJET,,ADMT100308PDER       JC8050,50,,0
DIJET,,EPHW100316ZTR       DH102,50,,0
DIJET,,RDHX 1003M0T                    DH103,50,,0
DIJET,,RDMT 1004M0E                     JC8118,50,,0
DIJET,,SNMG120412R-SG       JC8015,50,,0
DIJET,,SDEW090312ZER.   JC7518,50,,0
DIJET,,TNMG160408R-SG       JC8015,50,,0
DIJET,,WDMW 050316ZTR              JC8118,50,,0
DIJET,,ZPMT 100320ZER-PL                      JC8118,50,,0
DIJET,NMIEO06-0100,EOHW 060210ZTR   (PVD)            JC6102,40,לוחית ימנית high feed milling לפלדה מחוסמת,18.34
DIJET,NMIEO06-0050,EOMW 060210ZER   (PVD)            JC5118,40,לוחית ימנית high feed milling,12.86
DIJET,NMDSP09-0020,IM-SP32GS          (PVD)          JC5030,40,"לוח'כר'מתקש מצופה,DIJET,כר'90",14.02
DIJET,NMDSP09-0030,IM-SP32GS          (PVD)          JC5040,40,"לוח'כר'מתקש מצופה,DIJET,כר'90",14.02
DIJET,NMDSP12-0025,"IM-SP43GS-N1  (PVD,SERRATED)      JC8015",40,"לוחית כרסום משוננת,ציפוי PVD",13.72
DIJET,NMDRD10-0206,RDMT 1004M0T    (PVD)             JC5118,40,לוחית כרסום מושחזת מצופה עגולה,12.32
DIJET,NTITN16-5055,TNMG 160404L-SG                   JC8015,40,"לוחית לחריטה, מתק""ש מצופה",10.28
DIJET,NTITN16-5205,TNMG 160404-SF                    JC8015,40,"לוחית לחריטה, מתק""ש מצופה",10.28
DIJET,NMDWD05-0105,WDMW 050316ZTR    (PVD)           JC8050,40,לוחית כרסום ל-HIGH FEED MILLING,17.25
DIJET,NMDWN09-0200,WNMU 090720ZER-PM (PVD)           JC8118,40,לו'כר' 6 פינות עבודה לHIGH FEED MILLING,23.94
DIJET,NMDWO04-0130,WOMW 04T215ZER    (PVD)           JC7560,40,לוחית כרסום ל-HIGH FEED MILLING,16.62
DIJET,,APKT 1604PDR-08                   JC5118,40,,0
DIJET,,CNMG120404R-SG       JC8015,40,,0
DIJET,,EPHW100316ZTR       JC6102,40,,0
DIJET,,RDHX 0702MOT                    DH103,40,,0
DIJET,,SDET090312ZDER.   JC7550,40,,0
DIJET,,ZPMT 100304ZER-SL                      JC7518,40,,0
DIJET,NMIZC10-0070,ZCMT 100308RP  (POLISHED)           FZ15,37,לוחית כרסום מלוטשת ל-SICM/SECM,17.33
DIJET,NMDRD12-0320,RDGT 1204M0F-AL                     FZ05,30,לוחית כרסום מושחזת עגולה לאלומיניום,18.08
DIJET,NMPRD10-0325,RDHT 1003MOF   (TITAN. ALLOYS+ALUM.) KT9,30,"לוחית כרסום עגולה, לא מצופה",15.15
DIJET,NMPRD12-0325,RDHT 12T3MOF   (TITAN. ALLOYS+ALUM.) KT9,30,"לוחית כרסום עגולה, לא מצופה",16.48
DIJET,NMDBM16-0010,SWB-216-HM  (MAIN BLADE)          JC5118,30,"להב מתק""ש לראש כדורי SWING BALL",49.47
DIJET,NMDBM16-0050,SWB-216-HS    (MAIN BLADE)        JC5118,30,"להב מתק""ש לראש כדורי SWING BALL",36.47
DIJET,NMDWD05-0126,WDMW 050316ZTR    (PVD)           JC7560,30,לוחית כרסום ל-HIGH FEED MILLING,16.62
DIJET,NMDWD10-0150,WDMW 10X620ZTR    (PVD)           JC8015,30,לוחית כרסום  ל-HIGH FEED MILLING,25.03
DIJET,NMDWD10-0170,WDMW 10X620ZTR    (PVD)           JC8050,30,לוחית כרסום  ל-HIGH FEED MILLING,26.39
DIJET,NTIWN08-5070,WNMG 080404L-SG                   JC8015,30,"לוחית לחריטה, מתק""ש מצופה",14.36
DIJET,NMDWO04-0120,WOMW 04T215ZER    (PVD)           JC8050,30,לוחית כרסום ל-HIGH FEED MILLING,18.08
DIJET,NMIZP16-0150,ZPMT 160408RP  (POLISHED)           FZ15,30,לוחית כרסום מלוטשת ל-SICM/SECM,18.28
DIJET,,CNMG120412L-SG       JC8015,30,,0
DIJET,,EPHW100312ZER      JC8050,30,,0
DIJET,,EPHW100316ZTR       JC8118,30,,0
DIJET,,RDHX 1003M0T                      JC8118 ,30,,0
DIJET,,RDHX 12T3MOT                    DH103,30,,0
DIJET,,RNMU 1205MOE-MM JC7560P,30,,0
DIJET,,SNMG120408R-SG       JC8015,30,,0
DIJET,,TNMG160404R-SG       JC8015,30,,0
DIJET,,WDMT 080520ZER    (CVD)           JC7560,30,,0
DIJET,,ZDMT 13T316-RP                      FZ15,30,,0
DIJET,,ZPMT 100304ZER-PL                      DH102,30,,0
DIJET,,ZPMT 100304ZER-PL                      JC8118,30,,0
DIJET,,ZPMT 13T316R                        JC5015,30,,0
DIJET,,BNM-120-SS                           DH108,24,,0
DIJET,DSEH6080-010,"DV-SEHH6080-R02 (D8,l20,L70,Z6)  JC8000H",22,"כרסום אצבע מתק""ש לפלדות קשות",153.51
DIJET,,APMT160416PDER       JC8050,22,,0
DIJET,NMDMSSP-0575,#DSW-307H..................(FOR SWB 220),20,בורג הידוק ללוחית SWB 220,13.33
DIJET,NTICN12-5155,CNMG 120408L-SG                   JC8015,20,"לוחית לחריטה, מתק""ש מצופה",11.75
DIJET,NMDCP15-0020,IM-CP32N           (PVD)          JC5030,20,"לוח'כר'מתקש מצופה,DIJET,כר'90",16.65
DIJET,NMDCP15-0030,IM-CP32N           (PVD)          JC5040,20,"לוח'כר'מתקש מצופה,DIJET,כר'90",16.72
DIJET,NMDRD07-0150,RDGT 07T2M0F-AL                     FZ05,20,לוחית כרסום מושחזת עגולה לאלומיניום,12.33
DIJET,NMDRD10-0260,RDGT 1004M0T    (PVD)             JC8050,20,לוחית כרסום מושחזת מצופה עגולה,15.23
DIJET,NMDRP12-0025,RPMT 1204M0E-MM4    (PVD)        JC7560,20,לוחית כרסום עגולה ל-SUPER ALLOYS,0.04
DIJET,NMDRP12-0020,RPMT 1204M0E-MM8    (PVD)        JC7560,20,לוחית כרסום עגולה ל-SUPER ALLOYS,0.04
DIJET,NMDRP12-0030,RPMT 1204MOE-MH4    (PVD)        JC7560,20,לוחית כרסום עגולה ל-SUPER ALLOYS,0.04
DIJET,NTITN16-5305,TNMG 160408-SF                    JC8015,20,"לוחית לחריטה, מתק""ש מצופה",10.28
DIJET,NMDWD10-0120,WDMT 10X620ZER    (PVD)           JC5118,20,לוחית כרסום  ל-HIGH FEED MILLING,24.3
DIJET,NMDWD10-0110,WDMT 10X620ZER    (PVD)           JC8050,20,לוחית כרסום  ל-HIGH FEED MILLING,25.39
DIJET,NMDWD06-0105,WDMW 06T320ZTR    (PVD)           JC8050,20,לוחית כרסום ל-HIGH FEED MILLING,17.98
DIJET,NMDWD10-0155,WDMW 10X620ZTR    (PVD)           JC5118,20,לוחית כרסום  ל-HIGH FEED MILLING,26.19
DIJET,NTIWN08-5170,WNMG 080408L-SG                   JC8015,20,"לוחית לחריטה, מתק""ש מצופה",14.36
DIJET,NMHEP08-0085,XDMT 080620ZER   (PVD)            JC7560,20,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),14.41
DIJET,NMHEP08-0065,XDMW 080620ZTR   (PVD)            JC5118,20,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),14.81
DIJET,NMHEP08-0040,XDMW 080620ZTR   (PVD)            JC8050,20,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),14.81
DIJET,NMIZD10-0070,ZDMT 100308LP  (POLISHED)           FZ15,20,לוחית כרסום מלוטשת ל-SICM/SECM,15.13
DIJET,NMIZD13-0090,ZDMT 13T308LP  (POLISHED)           FZ15,20,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,NMIZO06-0110,ZOMT 060202ZER   (PVD)            JC8050,20,לוחית ימנית high feed milling,13.87
DIJET,NMIZP13-0100,ZPMT 13T308R                      JC5040,20,לוחית ימנית לכרסום/שיקוע,17.88
DIJET,NMIZP13-0200,ZPMT 13T320R                      JC5040,20,לוחית ימנית לכרסום/שיקוע,13.82
DIJET,NMIZP13-0230,ZPMT 13T320RP  (POLISHED)           FZ15,20,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,NMIZP16-0060,ZPMT 160408L                      JC5015,20,לוחית שמאלית לכרסום/שיקוע,19.35
DIJET,NMIZP16-0050,ZPMT 160408L                      JC5040,20,לוחית שמאלית לכרסום/שיקוע,20.52
DIJET,NMIZP16-0100,ZPMT 160408R                      JC5040,20,לוחית ימנית לכרסום/שיקוע,0
DIJET,,CNMG120404L-SG       JC8015,20,,0
DIJET,,ENMU100412ZER-PH       JC8050,20,,0
DIJET,,ENMU100412ZER-SL       JC7518,20,,0
DIJET,,RDGT 1004M0E                    JC8015,20,,0
DIJET,,RDHT 0702MO-T57P,20,,0
DIJET,,RDHX 1003M0F                      KT9,20,,0
DIJET,,RDMT 1004M0E-ML                JC8050,20,,0
DIJET,,TNMG160404-SZ       JC5118,20,,0
DIJET,,TNMG160408L-SG       JC8015,20,,0
DIJET,,WDMW 080520ZTR                        JC8118,20,,0
DIJET,,XDHW 031010                       DH103,20,,0
DIJET,,YOHW 060208ZER-12            DH102,20,,0
DIJET,,ZPMT 13T316-R                     JC5040,20,,0
DIJET,,RDHT 12T3MO T57P,20,,0
DIJET,DSEH4020010,"DV-SEHH4020      (D2,l7,L60,Z4)  JC8000H",16,"כרסום אצבע מתק""ש לפלדות קשות",85.01
DIJET,NDMRB10-0300,HRM-100-R20   (H.F.C)             JC8015,14,"להב מתק""ש שטוח לקידמה מהירה",84.15
DIJET,DSEH6060-010,"DV-SEHH6060-R02 (D6,l15,L60,Z6)  JC8000H",13,"כרסום אצבע מתק""ש לפלדות קשות",126.89
DIJET,NDMSB20-0010,BNM-200-S    (PVD)                JC8008,12,להב כדורי מפותל MIROR.BALL,104.37
DIJET,NMDMSSP-0180,#TSW-3612H..................(FOR SE13T3),11,בורג הידוק ללוחית SEMT 13T3,16.53
DIJET,NDMSB08-0020,BNM-080-S                         JC8008,10,"להב מתק""ש כדורי MIROR.BALL",61.6
DIJET,NTICN12-2900,CNMG 120404-UB                    JC110V,10,"לוחית לחריטה, מתק""ש מצופה",5.94
DIJET,NTICN12-5110,CNMG 120408R-SG                   JC110V,10,"לוחית לחריטה, מתק""ש מצופה",11.33
DIJET,NTICN12-5310,CNMG 120408-SF                    JC110V,10,"לוחית לחריטה, מתק""ש מצופה",11.4
DIJET,DSEH4030-010,"DV-SEHH4030-R02 (D3,l10,L60,Z4)  JC8000H",10,"כרסום אצבע מתק""ש לפלדות קשות",95.62
DIJET,NDMRB08-0180,HRM-080-R10   (H.F.C)             JC8015,10,"להב מתק""ש שטוח לקידמה מהירה",69.89
DIJET,NDMRB08-0200,HRM-080-R20   (H.F.C)             JC8015,10,"להב מתק""ש שטוח לקידמה מהירה",69.89
DIJET,NMDSP12-0030,"IM-SP43GS-N1  (PVD,SERRATED)      JC8050",10,"לוחית כרסום משוננת,ציפוי PVD",12.28
DIJET,NMDRD12-0300,RDGT 1204M0E    (PVD)             JC8015,10,לוחית כרסום מושחזת מצופה עגולה,15.23
DIJET,NMDRD12-0360,RDGT 1204M0T    (PVD)             JC8050,10,לוחית כרסום מושחזת מצופה עגולה,0
DIJET,NMDRD10-0065,RDHX 1003M0T                      JC5118,10,לוחית כרסום מצופה עגולה,14.28
DIJET,NMPRD20-0060,RDHX 2006MOT                      JC5030,10,"לוחית כרסום עגולה, ציפוי PVD",33.2
DIJET,NMDRD07-0200,RDMT 0702M0E    (PVD)             JC8050,10,לוחית כרסום מושחזת מצופה עגולה,10.5
DIJET,NMDRD07-0300,RDMW 0702M0T    (PVD)             JC8015,10,לוחית כרסום מצופה עגולה,8.89
DIJET,NMDWD06-0165,WDMT 06T320ZER    (PVD)           JC5118,10,לוחית כרסום ל-HIGH FEED MILLING,17.61
DIJET,NMDWD08-0220,WDMT 080520ZER    (CVD)           JC730U,10,לוחית כרסום  ל-HIGH FEED MILLING,22.07
DIJET,NMDWD08-0247,WDMT 080520ZER    (PVD)           JC5118,10,לוחית כרסום  ל-HIGH FEED MILLING,20.77
DIJET,NMDWD06-0101,WDMW 06T320ZTR    (PVD)           JC5118,10,לוחית כרסום ל-HIGH FEED MILLING,19.19
DIJET,NMDWD06-0180,WDMW 06T320ZTR    (PVD)           JC7560,10,לוחית כרסום ל-HIGH FEED MILLING,16.02
DIJET,NTIWN08-5741,WNMG 080408-PG                    JC110V,10,"לוחית לחריטה, מתק""ש מצופה",13.88
DIJET,NTIWN08-5745,WNMG 080408-PG       (PVD)        JC8015,10,"לוחית לחריטה, מתק""ש מצופה",13.25
DIJET,NTIWN08-5130,WNMG 080408R-SG                   JC110V,10,"לוחית לחריטה, מתק""ש מצופה",13.88
DIJET,NTIWN08-5500,WNMG 080408-UB                    JC110V,10,"לוחית לחריטה, מתק""ש מצופה",15.07
DIJET,NTIWN08-5910,WNMG 080412-SZ   (PVD)            JC5118,10,"לוחית לחריטה, מתק""ש מצופה",14.41
DIJET,NMTXD02-0100,XDHW 020610      (PVD)            JC5040,10,"לוחית כרסום DIJET מצופה , 70 מעלות",14.54
DIJET,NMHEP08-0075,XDMT 080620ZER   (PVD)            JC5118,10,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),16.1
DIJET,NMHEP08-0070,XDMT 080620ZER   (PVD)            JC8015,10,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),16.65
DIJET,NMHEP08-0080,XDMT 080620ZER   (PVD)            JC8050,10,לוחית כרסום DIJET מצופה  משובעת (7 צלעות),16.1
DIJET,NMIEP10-0200,YPHW 100308ZER-15   (PVD)         JC6102,10,לוחית ימנית high feed milling לפלדה מחוסמת,22.37
DIJET,NMIZD13-0090,ZDMT 13T308RP  (POLISHED)           FZ15,10,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,NMIZD13-0070,ZDMT 13T320L                      JC5040,10,לוחית שמאלית לכרסום/שיקוע,18.08
DIJET,NMIZD13-0100,ZDMT 13T320LP  (POLISHED)           FZ15,10,לוחית כרסום מלוטשת ל-SICM/SECM,18.32
DIJET,NMIZO06-0210,ZOMT 060208ZER   (PVD)            JC8050,10,לוחית ימנית high feed milling,0
DIJET,NMIZP10-0210,ZPMT 100308ZER                    JC5118,10,לוחית ימנית לכרסום,16.94
DIJET,,BNM-100-SS                           DH108,10,,0
DIJET,,CNMG120404-SZ       JC5118,10,,0
DIJET,,ENMU100412ZER-PH       JC8118,10,,0
DIJET,,RDMW 1606M0T                  DH103,10,,0
DIJET,,SPMT100415ZPTR-PM       JC8118,10,,0
DIJET,,TNMG 331-SF              JC8015,10,,0
DIJET,,TNMG160408-UD       JC110V,10,,0
DIJET,,XDMT 080620ZER-ML                   JC7560P,10,,0
DIJET,,XDMW 080635ZTR-S                    JC5040,10,,0
DIJET,,YPHW 100308ZER-F    JC8015,10,,0
DIJET,,ZPMT 100308ZER                    JC8050,10,,0
DIJET,,ZPMT 13T316-RP                     FZ15,10,,0
DIJET,,ZPMT 13T320R                      JC5015,10,,0
DIJET,,YCMU 090716ZER-PM JC8050,10,,0
DIJET,,YCMU 09078ZER-PM JC8118,10,,0
DIJET,DOCSAR100010,DV-OCSAR4100-10 (D10l22L80d10R1.0)JC8010,9,כרסום אצבע ל-DIJET SUPER ALLOYS,298.99
DIJET,NMMPM12-0010,"MPM-3012-M6              (D12,Z3,L20,M6)",9,"ראש כר',מתברג,לוחית EO/ZO0602",275.1
DIJET,,BNM-060-SS                           DH108,8,,0
DIJET,,SPMT100415ZPER-SM       JC7550,8,,0
DIJET,,RDMX12T3MOT JC8015,8,,0
DIJET,DOCSAR120010,DV-OCSAR4120-10(D12l26L100d12R1.0)JC8010,7,כרסום אצבע ל-DIJET SUPER ALLOYS,374.81
DIJET,NDMSB06-0040,BNM-060-S                         JC8008,6,"להב מתק""ש כדורי MIROR.BALL",73.66
DIJET,DOCSAR030020,"DV-OCSAR 4030-05(D3l8L60Z4d6,R05) JC8010",6,כרסום אצבע DIJET SUPER ALLOYS,139.03
DIJET,DOCSAR060020,"DV-OCSAR 4060-05(D3l8L60Z4d6,R05) JC8010",6,כרסום אצבע DIJET SUPER ALLOYS,174.99
DIJET,NDMRB16-0300,HRM-160-R30   (H.F.C)             JC8015,6,"להב מתק""ש שטוח לקידמה מהירה",103.18
DIJET,NMCS120-0020,MSN-M6-30-S12C                    (L=80),6,"קנה מתק""ש DIJET, קצה מתברג",502.75
DIJET,NDMRB10-0110,RNM-100-R05                       JC8015,6,"להב מתק""ש שטוח MIROR.RAD",81.29
DIJET,,APKT 1604PDR-08                   JC8050,6,,0
DIJET,,BNM-080-SS                           DH108,6,,0
DIJET,,BNM-160-SS                           DH108,6,,0
DIJET,,FRM-100-R10                         JC8015,6,,0
DIJET,,MBN-120-M6,6,,0
DIJET,,MRX-160-M8,6,,0
DIJET,NMMQX25-0020,"MQX-5025-M12             (D25,Z5,L35,M12)",5,"ראש כר',מתברג,לוחית EP10",427.16
DIJET,NMMRN10-0010,"MRN-100-M6-H     (L=18,IMTERNAL COOLENT)",5,"ראש כרסום כדורי מתברג DIJET,",252.96
DIJET,NMMRN16-0010,"MRN-160-M8-H     (L=23,IMTERNAL COOLENT)",5,"ראש כרסום כדורי מתברג DIJET,",314.67
DIJET,NMCS120-0010,MSN-M6-15-S12C                    (L=60),5,"קנה מתק""ש DIJET, קצה מתברג",372.39
DIJET,NMTEMRD-0510,"DDM-2200-60-W20    (D10,A20,d20,L110,Z2)",4,"כר'אצ',לוחית עגולה,לוח'RD1003",223.34
DIJET,DOCSAR080020,"DV-OCSAR 4080-05(D3l8L60Z4d6,R05) JC8010",4,כרסום אצבע DIJET SUPER ALLOYS,212.54
DIJET,DSCM6100-0010,"DV-SCMS6100   (D10.0,l25,L75,Z6)  JC8010",4,"כרסום אצבע מתק""ש לפלדות קשות",416.42
DIJET,NDMRB08-0117,HRM-080-R05-F  (H.F.C)            JC8015,4,"להב מתק""ש שטוח לקידמה מהירה",71.6
DIJET,NDMRB10-0115,HRM-100-R05    (H.F.C)            JC8015,4,"להב מתק""ש שטוח לקידמה מהירה",77.9
DIJET,NDMRB10-0160,HRM-100-R10                       JC8015,4,"להב מתק""ש שטוח MIROR.RAD",84.67
DIJET,NDMRB12-0300,HRM-120-R20   (H.F.C)             JC8015,4,"להב מתק""ש שטוח לקידמה מהירה",74.2
DIJET,NMDDMSH-0270,"MSH-3026-M12           (D26,Z3*WD05,M12)",4,"ראש כר',HFM,מתברג,לוח'WD0503",481.43
DIJET,NMCS160-0020,MSN-M8-40-S16C                    (L=95),4,"קנה מתק""ש DIJET, קצה מתברג",552.05
DIJET,,BNM-200-SS                           DH108,4,,0
DIJET,,ENMU100412ZER-SL       JC7550,4,,0
DIJET,,MRX-120-M6-H,4,,0
DIJET,,#11139-Z9523   JC7550,4,,0
DIJET,DOCSAR160035,DV-OCSAR4160-10(D16l32L110d16R30) JC8010,3,כרסום אצבע DIJET SUPER ALLOYS,745.15
DIJET,NDSEM60-0060,"DV-SEHM6060 (D6.0,l?,L?,Z6,d6)   JC8000H",3,"כרסום אצבע מתק""ש לפלדות קשות",197.93
DIJET,NDSEM60-0100,"DV-SEHM6100 (D10.0,l?,L?,Z6,d10) JC8000H",3,"כרסום אצבע מתק""ש לפלדות קשות",310.59
DIJET,DZR0410-0100,"DZ-OCRS4100           (D10,l23,L72,Z4)",3,"כר'אצ' מתק""ש ריסוק לפל' קשות וברזל יציקה",258.28
DIJET,NMMBN16-0010,"MBN-160-M8-H     (L=23,IMTERNAL COOLENT)",3,"ראש כרסום כדורי מתברג DIJET,",257.53
DIJET,NMMPM16-0010,"MPM-4016-M8              (D16,Z4,L23,M8)",3,"ראש כר',מתברג,לוחית EO/ZO0602",350.53
DIJET,NMMQX20-0015,"MQX-3020-M10            (D20,Z3,L30,M10)",3,"ראש כר',מתברג,לוחית EP10",312.94
DIJET,NMCS100-0030,MSN-M6-50-S10C                   (L=100),3,"קנה מתק""ש DIJET, קצה מתברג",469.21
DIJET,NMMPM10-0020,"PME-2010-S10        (D10,Z2,L80,l20,d10)",3,"כרסום אצבע לוחית EO06,קרור פנימי",243.86
DIJET,NDMRB20-0255,RNM-200-R20                       JC8015,3,"להב מתק""ש שטוח MIROR.RAD",127.71
DIJET,NMTESKS-0200,"SKS-2020-50-S20   (D20,d20,H50,Z2*wd05)",3,"כרס'אצ',לוחית WD05 ל-H.F.MILL",475.88
DIJET,NMTFSKS-0210,"SKS-4052R-08-22    (D52,d22,F50,Z4*wd08)",3,"כרס'שטח,לוחית high feed",713.22
DIJET,NMTFSKS-0360,"SKS-4063R-10-27   (D63,d27,F50,Z4*wd010)",3,"כרס'שטח,לוחית high feed",853.82
DIJET,,MBN-100-M6,3,,0
DIJET,,PME3012S12  (32143-Z8400),3,,0
DIJET,,TEZ 2650  JC8050,3,,0
DIJET,,TEZD 2600S32-MS,3,,0
DIJET,,ZPMT 160408-LP                      FZ15,3,,0
DIJET,,ZPMT100308ZER-PL CX75,3,,0
DIJET,NDMSB10-0020,BNM-100-SH   (PVD)               JC6102,2,להב כדורי מפותל MIROR.BALL,71.67
DIJET,NDMSB12-0010,BNM-120-S    (PVD)                JC8008,2,להב כדורי מפותל MIROR.BALL,72.06
DIJET,NDMSB16-0010,BNM-160-S    (PVD)                JC8008,2,להב כדורי מפותל MIROR.BALL,85.21
DIJET,DOCSAR040020,"DV-OCSAR 4040-05(D3l8L60Z4d6,R05) JC8010",2,כרסום אצבע DIJET SUPER ALLOYS,149.39
DIJET,DSCM6060-0010,"DV-SCMS6060    (D6.0,l15,L50,Z6)  JC8010",2,"כרסום אצבע מתק""ש לפלדות קשות",242.9
